Presentation Category (choose the best fit),Room #,"All presentations will be paired with a teacher advisor. Is there a teacher already associated with your presentation, such as club advisor or class teacher? If yes, please write their last name below. ","Name of your presentation: ""Creative Title: Descriptive Title""  (15 words max)",Duration,Duration of Presentation
"1 Academics
9:00-9:35","114 Felder, K",Tanaka,Objection!: How Mock Trial Works ,35 min,35 min
"1 Academics
9:00-9:35",116 Wajima,Ishida,How to build a nuclear bomb: Materials and Methods used to make weapons of mass destruction  (Pair with Supertasks),15 min,15 min
"1 Academics
9:00-9:35",116 Wajima,Ishida,Supertasks: Facing Infinity (Pair with Nuclear Bomb),15 min,15 min
"1 Academics
9:00-9:35",129 Dyrdahl,Lindgren,History Of The Palestine Israel conflict,35 min,35 min
"1 Academics
9:00-9:35",130 Farlow,Novak,Build the Strongest Bridge You Can!,35 min,35 min
"1 Academics
9:00-9:35",132 Yang,Langford,Mad Libs and Murals: Exploring Coding Through Python and AI,35 min,35 min
"1 Academics
9:00-9:35","133 Felder, J",Sabbagh,Advice-ing and Icing: Decorating cookies and talking about your future high school experience,35 min,35 min
"1 Academics
9:00-9:35",134 Newmark,Quezada,Quiz Bowl: Rumble in the Academic Jungle,35 min,35 min
"1 Academics
9:00-9:35",136 Palmieri,Trombley,College Applications: Inside Look & Tips for Success,35 min,35 min
"1 Academics
9:00-9:35",137 Montague,Nazario,Introduction to photography: Taking photos,35 min,35 min
"1 Academics
9:00-9:35",141 Caudill,Fournier,Dead or Alive: an exploration of surgeries and dissections in the nineteenth century ,35 min,35 min
"1 Academics
9:00-9:35",142 Hames,Adair,Sunken Ships: Ocean Bowl Extravaganza,35 min,35 min
"1 Academics
9:00-9:35",207 Page,Rundgren,Film and Feminism: How movies influence the modern woman,35 min,35 min
"1 Academics
9:00-9:35",211 Gianini,Whitcomb,Unlock Your Inner Calm: Tips and Tricks for Relaxation,35 min,35 min
"1 Academics
9:00-9:35",223 Slattery,Fitzhenry,Snoozin': Slumber through the ages,35 min,35 min
"1 Academics
9:00-9:35",226 Hess,Bianchi,Black Hole Tierlist,35 min,35 min
